[2025-07-28 15:56:37] [INFO] Starting Velociraptor Setup Scripts Release Pipeline
[2025-07-28 15:57:42] [WARNING] Issues found in Deploy-VelociraptorServerless.ps1: 53
[2025-07-28 15:57:45] [WARNING] Issues found in Enable-VelociraptorHPC.ps1: 82
[2025-07-28 15:57:46] [WARNING] Issues found in Invoke-VelociraptorAPI.ps1: 7
[2025-07-28 15:57:46] [WARNING] Issues found in Invoke-VelociraptorDownload.ps1: 2
[2025-07-28 15:57:48] [WARNING] Issues found in Manage-VelociraptorCollections.ps1: 11
[2025-07-28 15:57:49] [WARNING] Issues found in New-ArtifactToolManager.ps1: 20
[2025-07-28 15:57:51] [WARNING] Issues found in New-IntelligentConfiguration.ps1: 44
[2025-07-28 15:57:51] [WARNING] Issues found in New-VelociraptorConfigurationTemplate.ps1: 8
[2025-07-28 15:57:51] [WARNING] Issues found in Read-VelociraptorUserInput.ps1: 1
[2025-07-28 15:57:52] [WARNING] Issues found in Restore-VelociraptorConfiguration.ps1: 2
[2025-07-28 15:57:52] [WARNING] Issues found in Set-VelociraptorSecurityHardening.ps1: 3
[2025-07-28 15:57:56] [WARNING] Issues found in Start-AutomatedTroubleshooting.ps1: 76
[2025-07-28 15:57:59] [WARNING] Issues found in Start-PredictiveAnalytics.ps1: 61
[2025-07-28 15:58:00] [WARNING] Issues found in Test-VelociraptorAdminPrivileges.ps1: 8
[2025-07-28 15:58:00] [WARNING] Issues found in Test-VelociraptorConfiguration.ps1: 4
[2025-07-28 15:58:01] [WARNING] Issues found in Test-VelociraptorHealth.ps1: 7
[2025-07-28 15:58:01] [WARNING] Issues found in Test-VelociraptorInternetConnection.ps1: 3
[2025-07-28 15:58:01] [WARNING] Issues found in Write-VelociraptorLog.ps1: 7
[2025-07-28 15:58:02] [WARNING] Issues found in Build-IncidentResponsePackages.ps1: 22
[2025-07-28 15:58:03] [WARNING] Issues found in Build-VelociraptorArtifactPackage.ps1: 17
[2025-07-28 15:58:03] [WARNING] Issues found in Discover-VelociraptorRepos.ps1: 18
[2025-07-28 15:58:04] [WARNING] Issues found in Fork-VelociraptorEcosystem.ps1: 8
[2025-07-28 15:58:07] [WARNING] Issues found in Publish-Release.ps1: 63
